y_actual,y_pred_point,low_90,high_90,covered_90,width_90,low_85,high_85,covered_85,low_80,high_80,covered_80
125608000.0,72087153.16747396,18523027.05428091,188576015.55218038,True,170052988.49789947,20522327.80280019,180331111.10715875,True,25574777.743797153,144185247.97662726,True
143044000.0,116157788.815738,30282455.047196664,221353676.11181274,True,191071221.06461608,32670216.901658464,216099746.86528394,True,35092917.922301896,206275835.73795897,True
50090990.0,87065400.50818013,37154269.47601515,164452430.12460175,True,127298160.6485866,47119208.886024654,155479526.0766074,True,52524352.28352447,148127333.98974636,False
132650000.0,118468127.30375625,56456863.40638097,191224418.96050617,True,134767555.5541252,67320113.23756579,158847682.10537502,True,77530469.61443439,151482670.56330764,True
144700000.0,127375679.83331111,40101078.11199209,181473246.24454436,True,141372168.13255227,48090590.26134519,153428201.07534078,True,57259096.25859374,160293492.57046396,True
12000000.0,21480280.5200572,4206610.408741118,75083136.1722974,True,70876525.76355629,4806256.532396892,55385219.67472248,True,5737694.495027835,54638150.12703248,True
96777889.0,86971827.90221229,49613860.68755693,138399079.21183804,True,88785218.52428111,56886543.4405609,125048566.69222045,True,65287558.98692498,121421130.72314695,True
1985000.0,2615156.550278463,836804.6923076763,4805186.690243236,True,3968381.9979355596,925805.898509341,4341583.571612348,True,1062394.555822192,4535664.279590692,True
1810000.0,2212300.8887872845,569267.4584767828,3802802.434311748,True,3233534.9758349652,673090.3409312632,3326169.4074559645,True,755204.9885260969,3463367.3916883976,True
21159000.0,18426160.611340255,7605032.121276541,36094827.231708646,True,28489795.110432103,7897866.354886572,30383296.022360723,True,8070679.729283253,30055004.379398365,True
36440000.0,29391766.23890414,9815888.97931326,34190203.74501114,False,24374314.76569788,10716024.873604154,33596568.60583935,False,13715933.253751213,35539523.87226445,False
29999999.0,30384900.99534657,11262732.408702742,100100277.83178069,True,88837545.42307794,12960786.938020932,77079431.00816013,True,14969599.538818948,67270062.38814643,True
2519999.0,5790886.03451807,2797455.720382349,10661145.9788387,False,7863690.258456351,2886444.001590037,9364551.126234084,False,2061692.3441587207,9808168.005893543,True
4297000.0,3694838.7826328515,1438594.3961628254,8102815.07898859,True,6664220.682825765,1551718.6016104845,7972501.148046095,True,1496042.0933129329,7033471.646633007,True
4003000.0,2261065.0144961285,616004.3485263109,6098595.1321744425,True,5482590.783648131,1332066.160615937,4901048.493648647,True,1288366.2130489994,4397877.891441373,True
2199999.0,1916885.289737621,558102.3495103314,4444228.056220238,True,3886125.7067099065,671733.5970883261,3909076.6508819116,True,712935.5255559739,3988771.004694682,True
5555000.0,1508995.3554932512,1086643.8137852747,11748307.478898682,True,10661663.665113406,814874.0121531979,2356977.83768103,False,749253.083071554,2966889.6644744887,False
64240000.0,67635458.47842792,42155611.77772863,128098189.4260357,True,85942577.64830707,46423065.49749389,110508647.1773748,True,48787189.23933558,107422206.89839435,True
4358000.0,4252230.437992289,1716101.9009250132,7554117.88483847,True,5838015.983913457,1944527.7734598701,6875073.706624288,True,2300608.6391882123,6710428.565768817,True
73557000.0,66182670.360362224,17043751.763104208,152298863.2486925,True,135255111.4855883,23794068.96371496,136716097.46844703,True,28724762.05083784,133987373.55464807,True
5000001.0,4446500.695544148,2291731.9898142572,7280803.665246937,True,4989071.67543268,2536022.1457315586,6802752.375237591,True,2647524.619799964,6688440.91773553,True
2346899.0,3640041.1173112155,811436.4556004195,10300565.60974692,True,9489129.1541465,1013880.0700240067,9011312.124482831,True,1118507.9967494428,7797896.177860772,True
33170000.0,40606401.550061375,16005450.933521645,58895501.80922115,True,42890050.875699505,19313210.377237905,55748427.69692366,True,22689995.942622706,54881741.18400286,True
5697000.0,3550836.8278821306,664881.7262427266,8672699.086964067,True,8007817.36072134,1006376.3799717092,7615731.306047549,True,1121139.9248181954,7034044.593883455,True
5365000.0,25138951.44930561,8373591.975755241,48815441.92773485,False,40441849.95197961,9347444.799351903,42895795.1327351,False,11097711.824009202,40348649.82659151,False
31328999.0,35994993.004743814,8203912.674547822,63026053.271478765,True,54822140.59693094,8874409.325301806,62474021.71712094,True,9771012.95310715,57412174.306922026,True
36500000.0,43106462.80785896,16769389.77273152,82402103.84854238,True,65632714.07581086,19378675.46225419,75026259.96465081,True,22754688.786077347,69197996.68094364,True
1850667.0,3853017.6133401673,827438.468960687,6746365.2806719635,True,5918926.811711276,1577159.4964385706,6340125.096611503,True,1947828.682279393,6542899.174288228,False
1229000.0,1734360.6982488541,456373.47167734394,5085735.4070108645,True,4629361.93533352,605509.7653571656,5556354.440007654,True,652955.1080899421,3087932.381172652,True
681000.0,5953007.756101941,0.0,20950936.016308125,True,20950936.016308125,0.0,8901496.24262779,True,0.0,4847240.349100875,True
5010000.0,4131859.050740766,2076746.415161133,7831312.489474706,True,5754566.074313574,2104833.422829092,7401905.200555493,True,2313251.8197616786,7001844.297142077,True
3597900.0,1218899.041865614,293603.0205575798,3525031.9522394147,False,3231428.931681835,170795.7744286921,3316553.22076927,False,0.0,3083112.927226364,False
34807000.0,44690200.28659838,18402105.062959626,89235042.82298855,True,70832937.76002893,21608125.933482435,84991060.95542912,True,25984522.1380083,74573568.26355608,True
85364000.0,93848190.14768907,30882557.114528436,168915410.95282924,True,138032853.8383008,36405665.40741589,164255072.37883082,True,39820251.71028809,153597955.7257749,True
1563000.0,2996089.6621081936,532750.2125846499,6191182.315677159,True,5658432.103092508,674554.2122922533,5656850.821726731,True,774261.074392128,5327387.738428876,True
5800737.0,4082529.2397793513,2839620.102422601,6536110.389262503,True,3696490.286839902,2205870.972061502,6367660.880970114,True,1324603.5159139293,5689769.52888461,False
1581000.0,3531680.8343447465,1137643.7013570722,6558908.2217582185,True,5421264.520401146,1299491.3103658352,6189700.223282514,True,1509745.7341516104,5963412.609360935,True
4799925.0,3311438.4138881993,2065217.3147427074,5651950.451937418,True,3586733.137194711,2303298.6557159387,5861142.972502311,True,2129084.994657334,5891933.800394317,True
17900000.0,6015523.867018339,889702.5452262763,17685833.405522447,False,16796130.86029617,1036568.0996695618,16313698.285093317,False,841711.2720643969,15308401.18389203,False
1817000.0,3989473.2139919046,862679.3053985535,10471929.16326183,True,9609249.857863277,738744.9391633122,10280039.441082217,True,1048880.4707136909,8238180.090918161,True
4757000.0,4230263.960489708,1333257.4588451646,6880831.798836163,True,5547574.339990999,1566112.8458175876,6352069.814578721,True,1838520.8697712857,6034050.4416108,True
2686000.0,3424346.4404815543,1561214.7618601585,4486197.95769288,True,2924983.195832722,1604013.3968729265,4101933.412934871,True,1949116.8610913414,5106115.705358259,True
